BusinessTravel,Department,EducationField,Gender,JobRole,MaritalStatus,MonthlyRate,DailyRate,HourlyRate
Travel_Rarely,Sales,Life Sciences,Female,Sales Executive,Single,19479,1102,94
Travel_Frequently,Research & Development,Life Sciences,Male,Research Scientist,Married,24907,279,61
Travel_Rarely,Research & Development,Other,Male,Laboratory Technician,Single,2396,1373,92
Travel_Frequently,Research & Development,Life Sciences,Female,Research Scientist,Married,23159,1392,56
Travel_Rarely,Research & Development,Medical,Male,Laboratory Technician,Married,16632,591,40
Travel_Frequently,Research & Development,Life Sciences,Male,Laboratory Technician,Single,11864,1005,79
Travel_Rarely,Research & Development,Medical,Female,Laboratory Technician,Married,9964,1324,81
Travel_Rarely,Research & Development,Life Sciences,Male,Laboratory Technician,Divorced,13335,1358,67
Travel_Frequently,Research & Development,Life Sciences,Male,Manufacturing Director,Single,8787,216,44
Travel_Rarely,Research & Development,Medical,Male,Healthcare Representative,Married,16577,1299,94
Travel_Rarely,Research & Development,Medical,Male,Laboratory Technician,Married,16479,809,84
Travel_Rarely,Research & Development,Life Sciences,Female,Laboratory Technician,Single,12682,153,49
Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Divorced,15170,670,31
Travel_Rarely,Research & Development,Medical,Male,Laboratory Technician,Divorced,8758,1346,93
Travel_Rarely,Research & Development,Life Sciences,Male,Laboratory Technician,Single,12947,103,50
Travel_Rarely,Research & Development,Life Sciences,Female,Manufacturing Director,Divorced,10195,1389,51
Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Divorced,15053,334,80
Non-Travel,Research & Development,Medical,Male,Laboratory Technician,Divorced,7324,1123,96
Travel_Rarely,Sales,Life Sciences,Female,Manager,Married,22021,1219,78
Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Single,4306,371,45
Non-Travel,Research & Development,Other,Female,Manufacturing Director,Divorced,8232,673,96
Travel_Rarely,Sales,Life Sciences,Male,Sales Representative,Single,6986,1218,82
Travel_Rarely,Research & Development,Life Sciences,Female,Research Director,Single,21293,419,53
Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Single,19281,391,96
Travel_Rarely,Research & Development,Medical,Male,Research Scientist,Single,17102,699,83
Travel_Rarely,Research & Development,Other,Female,Manager,Divorced,10735,1282,58
Travel_Frequently,Research & Development,Life Sciences,Female,Research Scientist,Single,4681,1125,72
Travel_Rarely,Sales,Marketing,Male,Sales Executive,Married,21173,691,48
Travel_Rarely,Research & Development,Medical,Female,Healthcare Representative,Married,2094,477,42
Travel_Rarely,Sales,Marketing,Female,Manager,Single,22822,705,83
Travel_Rarely,Research & Development,Medical,Male,Laboratory Technician,Single,6670,924,78
Travel_Rarely,Research & Development,Other,Male,Healthcare Representative,Married,19121,1459,41
Travel_Rarely,Research & Development,Medical,Male,Laboratory Technician,Single,16117,125,83
Travel_Rarely,Sales,Technical Degree,Male,Sales Representative,Married,3335,895,56
Travel_Rarely,Research & Development,Medical,Male,Research Scientist,Married,3020,813,61
Travel_Rarely,Research & Development,Medical,Female,Research Scientist,Divorced,21923,1273,72
Travel_Rarely,Sales,Marketing,Male,Sales Representative,Married,3810,869,86
Travel_Rarely,Sales,Marketing,Female,Sales Representative,Married,9687,890,97
Travel_Rarely,Research & Development,Life Sciences,Female,Research Scientist,Married,13072,852,82
Travel_Frequently,Sales,Life Sciences,Female,Sales Executive,Married,3193,1141,42
Travel_Rarely,Research & Development,Other,Male,Laboratory Technician,Divorced,10910,464,75
Travel_Rarely,Research & Development,Life Sciences,Female,Laboratory Technician,Divorced,19715,1240,33
Travel_Rarely,Research & Development,Life Sciences,Male,Laboratory Technician,Single,10558,1357,48
Travel_Frequently,Sales,Life Sciences,Male,Sales Executive,Single,2975,994,37
Travel_Frequently,Research & Development,Medical,Female,Laboratory Technician,Single,10781,721,58
Travel_Rarely,Research & Development,Technical Degree,Female,Research Director,Married,16280,1360,49
Non-Travel,Sales,Marketing,Male,Sales Executive,Single,10034,1065,72
Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Married,10227,408,73
Travel_Frequently,Sales,Marketing,Male,Sales Executive,Single,20445,1211,98
Travel_Rarely,Research & Development,Life Sciences,Male,Laboratory Technician,Married,4892,1229,36
Travel_Rarely,Research & Development,Life Sciences,Male,Laboratory Technician,Single,19294,626,98
Travel_Rarely,Research & Development,Technical Degree,Male,Laboratory Technician,Single,11179,1434,50
Travel_Rarely,Sales,Marketing,Female,Sales Executive,Divorced,4009,1488,75
Non-Travel,Research & Development,Medical,Male,Healthcare Representative,Married,8302,1097,79
Travel_Rarely,Sales,Marketing,Female,Sales Executive,Married,21436,1443,47
Travel_Frequently,Research & Development,Life Sciences,Female,Research Director,Single,15146,515,98
Travel_Frequently,Sales,Life Sciences,Male,Sales Executive,Married,11031,853,71
Travel_Rarely,Research & Development,Medical,Female,Laboratory Technician,Married,16002,1142,30
Travel_Rarely,Research & Development,Life Sciences,Male,Laboratory Technician,Divorced,9528,655,48
Travel_Rarely,Research & Development,Life Sciences,Male,Manufacturing Director,Divorced,2689,1115,51
Travel_Rarely,Research & Development,Medical,Male,Manufacturing Director,Married,10877,427,33
Travel_Frequently,Research & Development,Life Sciences,Female,Laboratory Technician,Single,5456,653,50
Travel_Rarely,Research & Development,Medical,Female,Research Director,Divorced,16701,989,43
Travel_Rarely,Sales,Life Sciences,Female,Sales Executive,Single,2354,1435,99
Travel_Rarely,Research & Development,Technical Degree,Female,Healthcare Representative,Divorced,8202,1223,59
Travel_Rarely,Research & Development,Medical,Female,Manager,Divorced,19730,836,33
Travel_Frequently,Research & Development,Life Sciences,Male,Manufacturing Director,Single,22656,1195,95
Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Divorced,18787,1339,59
Travel_Frequently,Research & Development,Medical,Male,Research Scientist,Married,5868,664,79
Travel_Rarely,Research & Development,Medical,Male,Research Scientist,Married,21777,318,79
Travel_Frequently,Sales,Life Sciences,Female,Sales Executive,Single,24668,1225,57
Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Married,4956,1328,76
Travel_Rarely,Research & Development,Medical,Male,Research Scientist,Single,18775,1082,87
Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Married,7346,548,66
Travel_Rarely,Research & Development,Life Sciences,Female,Laboratory Technician,Married,22002,132,55
Travel_Rarely,Research & Development,Life Sciences,Female,Manufacturing Director,Single,20682,746,61
Travel_Rarely,Sales,Marketing,Male,Sales Executive,Single,23016,776,32
Travel_Rarely,Research & Development,Other,Male,Research Director,Married,15067,193,52
Travel_Rarely,Research & Development,Medical,Male,Research Director,Single,25258,397,30
Travel_Rarely,Human Resources,Medical,Male,Human Resources,Divorced,10425,945,80
Travel_Rarely,Research & Development,Life Sciences,Male,Laboratory Technician,Married,15998,852,55
Travel_Rarely,Research & Development,Medical,Male,Research Scientist,Single,26278,1214,30
Travel_Rarely,Sales,Life Sciences,Male,Sales Executive,Married,18092,111,70
Non-Travel,Research & Development,Medical,Female,Research Scientist,Divorced,15717,573,79
Travel_Rarely,Research & Development,Medical,Male,Manufacturing Director,Married,17736,1153,94
Travel_Rarely,Research & Development,Life Sciences,Male,Manufacturing Director,Single,21698,1400,49
Travel_Rarely,Sales,Technical Degree,Male,Sales Representative,Divorced,9518,541,62
Travel_Rarely,Research & Development,Life Sciences,Male,Laboratory Technician,Married,18725,432,96
Travel_Rarely,Research & Development,Life Sciences,Male,Healthcare Representative,Married,15830,288,99
Travel_Rarely,Sales,Medical,Male,Sales Executive,Single,13596,669,64
Travel_Frequently,Research & Development,Life Sciences,Male,Healthcare Representative,Married,14115,530,78
Travel_Rarely,Sales,Marketing,Male,Sales Executive,Single,8423,632,71
Travel_Rarely,Sales,Medical,Female,Sales Executive,Divorced,19760,1334,63
Travel_Frequently,Research & Development,Medical,Male,Healthcare Representative,Married,3142,638,40
Travel_Rarely,Sales,Medical,Male,Sales Executive,Single,24301,1093,87
Travel_Rarely,Research & Development,Technical Degree,Female,Research Director,Married,24001,1217,60
Travel_Rarely,Sales,Other,Female,Sales Executive,Married,17519,1353,33
Non-Travel,Sales,Medical,Male,Sales Executive,Married,8863,120,43
Travel_Rarely,Sales,Medical,Male,Sales Executive,Single,24409,682,37
Non-Travel,Research & Development,Medical,Male,Laboratory Technician,Married,25043,489,67
Travel_Rarely,Human Resources,Human Resources,Male,Human Resources,Divorced,23648,807,63
Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Single,15178,827,71
Travel_Frequently,Research & Development,Life Sciences,Female,Laboratory Technician,Single,19783,871,66
Travel_Rarely,Research & Development,Other,Female,Research Scientist,Single,12482,665,41
Non-Travel,Research & Development,Life Sciences,Male,Healthcare Representative,Divorced,15850,1040,100
Non-Travel,Human Resources,Human Resources,Female,Manager,Married,21922,1420,32
Travel_Frequently,Research & Development,Life Sciences,Female,Research Director,Married,9755,1115,73
Travel_Rarely,Sales,Marketing,Male,Sales Executive,Single,26959,240,46
Travel_Rarely,Research & Development,Medical,Male,Research Scientist,Married,26897,1280,64
Travel_Rarely,Research & Development,Medical,Female,Laboratory Technician,Single,23785,534,59
Travel_Frequently,Research & Development,Medical,Female,Healthcare Representative,Single,25796,1456,30
Travel_Frequently,Research & Development,Life Sciences,Male,Laboratory Technician,Single,22887,658,66
Non-Travel,Human Resources,Human Resources,Female,Manager,Single,13871,142,30
